input,output
تیم ورزشی هم دارد؟,دانشگاه کلمبیا ۲۹ تیم ورزشی نیز دارد
در چه زمانی و کجا دانشگاه ساخته شد؟,دانشگاه کلمبیا در نیویورک در محله Morningside Heights و بین محله‌های Upper West side و هارلم قرار دارد. این دانشگاه در ۱۷۹۱ در شمال غربی منهتن، در زمینی به مساحت ۳۲ هکتار به نام King College ساخته شد
بعد از آن ساختمان هایی به آن اضافه شد؟,ساختمان‌های جدید در دانشگاه بعد از جنگ جهانی دوم ساخته شدند که اغلب با بحث‌هایی دربارهٔ ساختار جدید دانشگاه همراه می‌شد
پس جز آثار تاریخی باید به شمار بیاید درسته؟,چند ساختمان این دانشگاه به عنوان آثار تاریخی ثبت شده‌اند. ساختمان (۱۹۰۰) Low Memorial Library یکی از آنهاست که در فهرست شاهکارهای معماری نیز قرار دارد
معمار این دانشکده چه کسی بوده است؟,چارلز مک‌کیم از معماران پردیس این دانشگاه به‌شمار می‌آید
روند پذیرش آن چگونه است؟,غیرقابل‌پاسخ
بورسیه هم دارد؟,غیرقابل‌پاسخ
چند نفر از افرادی که در آن تحصیل کرده و نوبل برده اند را نام ببر؟,میلتون فریدمن را می‌توان از مشاهیر این دانشگاه دانست. برایان گرین و آیزاک آسیموف نیز دانش‌آموختهٔ این دانشگاه بوده‌اند. برندهٔ نوبل ادبیات ۲۰۰۶، اورهان پاموک، که از استادان این دانشگاه محسوب می‌شود، پژوهش‌های خود برای نگارش رمانی به نام کتاب سیاه را در کتابخانهٔ باتلر این دانشگاه انجام داده‌است
سینماگراف چیست؟,سینماگراف (انگلیسی: Cinemagraph) به عکسهایی ساکن و بی‌جان گفته می‌شود که حاوی جنبشی ظریف و تکرارشونده هستند
چه کاری انجام میدهد؟,این حرکت، عکس را به کلیپ ویدئویی تبدیل کرده و می‌تواند این حس را در مخاطب پدیدآورد که مشغول تماشای پویانمایی است
این تصاویر به چه فرمت هایی ساخته می شوند؟,"تصاویر سینما گراف با فرمت‌های ویدئویی مانند Mp۴، GIF, MOV و غیره ساخته می‌شوند"
چگونه میتوان آن را ساخت؟,برای ساخت یک سینماگراف می‌بایست در ابتدا به دنبال سوژه و صحنه‌ای مناسب و کاملا پویا به منظور فیلمبرداری و تصویربرداری برای چند ثانیه کوتاه باشید (با وجود اپلیکیشن‌های قدرتمند برای ساخت سینماگراف، می‌توان حتی از موبایل برای فیلمبرداری استفاده نمود). در اغلب نرم‌افزارها و اپلیکیشن‌ها، بعد از اتمام فرایند تصویربرداری و تهیه ویدیو، تصویری ساکن از ویدئو ضبط شده قابل مشاهده است که «تصویر ثابت» سینماگراف را به وجود می‌آورد. در مرحله بعد می‌بایست با اندکی دقت و ظرافت، قسمت متحرک را تعیین نمود. پس از تعیین قسمت متحرک، سینماگراف آماده خروجی است که با ذخیره و خروجی گرفتن از این فایل، قادر خواهید بود سینماگراف نهایی را با فرمت دلخواهتان داشته باشید
تفاوت آن با عکس معمولی چیست؟,اگر به عنوان تعریفی کلی، عکاسی را متوقف نمودن زمان و ماندگار نمودن و ابدی کردن برشی از حافظه تاریخ تعریف نماییم، سینماگراف تلفیق ثبت همان لحظه در فضای متحرک و بازسازی پویایی آن لحظه است که تأکید بیشتری بر نمود و تبلور دیدگاه و مضمون هنرمند و عکاسی دارد
آیا در صنعت تبلیغات و صنعت هم کاربرد دارد؟,اهمیت و گسترش سینماگراف در عکاسی صنعتی و به صورت کلی صنعت تبلیغات شده‌است
معروفترین برنامه ساخت آن ها چیست؟,غیرقابل‌پاسخ
آیا میتوان آن را چاپ کرد؟,غیرقابل‌پاسخ
با پرینتر سه بعدی چه؟,غیرقابل‌پاسخ
نسل کشی ارامنه در چه  زمانی انجام شده است؟,در دوران جنگ جهانی اول (۱۹۱۵ تا ۱۹۱۷ میلادی)
توسط چه کسی؟,توسط دولتمردان عثمانی و رهبران قیام ترکان جوان
تعداد قربانیان این واقعه چقدر است؟,امروزه تعداد کل قربانیان نسل‌کشی ارمنیان بین یک تا یک و نیم میلیون نفر برآورد شده‌است
آیا قوم های دیگری هم درگیر  این حادثه بودند؟,از جمله آشوریان، یونانیان و کردها نیز به طریقی مشابه مورد حملهٔ ترکان عثمانی قرار گرفتند
آیا ترکیه این واقعه رو به صورت رسمی پذیرفته؟,دولت ترکیه علی‌رغم عدم انکار وقوع چنین واقعه‌ای از پذیرفتن این واقعه با عنوان «نسل‌کشی» خودداری کرده و وجود سیاست سیستماتیک برای نابودی ارمنیان را قبول ندارد
به چی معتقد است؟,ترکیه معتقد است که در آن سال‌ها علاوه بر ارمنی‌ها ترک‌های بی‌دفاع نیز قربانی آشفتگی‌ها شده‌اند
این اتفاق به چه شکلی رخ داده است؟,اخراج ارمنی‌ها اغلب اوقات با غارت، تجاوز و کشتار همراه بود. خیلی از اخراج‌شدگان کشته شدند، یا از گرسنگی و بی سرپناهی در راه اردوگاه‌های نزدیک استان دیرالزور جانشان را از دست دادند. چندین هزار نفر از گرسنگی و بیماری در اردوگاه‌های اسرای جنگی — که در آنجا ساخته شده بود — جانشان را از دست دادند
در مستندات ایرانی چه چیزی در این باره گفته شده است؟,«بزرگ‌ترین رویداد مصیبت‌بار در تاریخ ارمنیان با آغاز جنگ جهانی اول روی داد. در ۱۹۱۵ میلادی دولت ترکان جوان تصمیم گرفت همهٔ جمعیت ارمنی ۱٬۷۵۰٬۰۰۰ نفری کشور را به سوریه و میان‌رودان انتقال دهد. آنان ارمنی‌ها در امپراتوری عثمانی را به رغم تعهد بسیاری از آنان به وفادار، عناصر خطرناک خارجی و شریک در توطئهٔ دشمن مسیحی‌گرای تزاری برای برهم زدن فعالیت‌های عثمانی در شرق می‌دانستند. در آنچه بعدها «نخستین نسل‌کشی» سدهٔ ۲۰ میلادی خوانده شد، صدها هزار ارمنی که از خانه‌های خود رانده شده بودند، یا قتل‌عام شدند، یا در خلال جابه‌جایی قومی، آن قدر پیاده راه پیمودند تا جان باختند. شمار کشته‌شدگان ارمنی در ترکیه طی سال‌های ۱۹۱۵ تا ۱۹۲۳ میلادی بین ۶۰۰٬۰۰۰ (در منابع رسمی ترکیه) تا ۱٬۵۰۰٬۰۰۰ تن برآورد شده‌است. علاوه بر این، طی این مدت ده‌ها هزار تن از آنان به روسیه، ایران، لبنان، سوریه، فرانسه و ایالات متحده آمریکا مهاجرت کردند.»
نام های دیگر این واقعه چیست؟,نسل‌کشی ارمنی‌ها (به ارمنی: Հայոց Ցեղասպանություն؛ به ترکی استانبولی: Ermeni Soykırımı) که گاهی با نام‌های دیگری چون هولوکاست ارامنه (پاکسازی نژادی)
